ClaimNumber,ExposureNumber,ExposureNumberBefore
029048860,3,4
029049353,0,1
029051352,0,1
029051710,2,3
029052436,2,3
029055217,0,1
029055791,0,1
029056037,2,3
029057573,1,2
029060556,2,3
029064148,3,4
029065411,3,4
029066947,2,3
029068928,0,1
029075944,2,3
029083989,0,1
029084069,0,1
029085100,2,3
029088780,0,1
029091328,2,3
029093909,0,1
029094638,1,2
029095624,2,3
029099438,0,1
029101436,0,1
029101586,4,5
029102784,2,3
029102903,0,1
029103695,2,3
029104843,0,1
029110406,3,4
029110639,0,1
029110708,3,4
029110908,0,1
029118129,0,1
029119469,0,1
029123444,3,4
029123991,0,1
029128428,2,3
029130226,0,1
029137022,2,3
029138344,2,3
029138838,1,2
029142051,3,4
029144270,0,1
029145092,0,1
029145442,3,4
029145961,0,1
029148001,0,1
029148793,0,1
029154002,2,3
029160920,2,3
029161301,2,3
029162828,2,3
029163089,0,1
029165145,4,5
029165302,0,1
029165654,2,3
029166120,2,3
029166343,4,5
029169344,3,4
029171152,3,4
029178061,0,1
029183794,2,3
029186522,0,1
029187784,2,3
029194025,3,4
029194141,2,3
029204174,0,1
029207748,0,1
029208893,0,1
029209317,0,1
029210156,1,2
029210167,0,1
029210589,2,3
029212142,0,1
029212864,3,4
029213852,0,1
029219227,3,4
029221629,0,1
029224917,1,2
029226664,0,1
029227282,2,3
029228824,2,3
029229113,0,1
029230015,0,1
029233657,3,4
029234360,0,1
029234507,2,3
029234582,0,1
029234786,1,2
029235401,0,1
029235698,3,4
029235791,0,1
029235904,3,4
029242454,1,2
029242671,0,1
029242941,0,1
029243006,0,1
029252038,0,1
029252909,0,1
029253126,0,1
029255118,2,3
029255693,0,1
029256454,2,3
029257002,2,3
029260412,3,4
029263219,0,1
029264332,0,1
029265147,2,3
029265491,3,4
029269233,2,3
029271234,0,1
029273151,0,1
029273801,0,1
029273940,0,1
029274986,0,1
029277277,3,4
029280899,2,3
029281981,3,4
029282991,0,1
029284164,2,3
029284397,2,3
029294908,3,4
029298656,0,1
029299302,4,5
029304069,0,1
029307966,2,3
029308242,0,1
029308857,0,1
029309186,0,1
029312753,6,7
029313562,2,3
029314373,0,1
029316729,2,3
029317703,0,1
029317985,0,1
029320857,0,1
029322047,1,2
029322786,3,4
029324863,2,3
029324908,0,1
029329537,3,4
029331053,2,3
029332412,2,3
029332941,1,2
029333080,0,1
029333323,0,1
029337338,0,1
029338101,3,4
029338619,0,1
029338706,0,1
029341516,2,3
029345115,1,2
029345335,0,1
029349099,0,1
029353175,0,1
029353333,1,2
029354883,0,1
029355812,0,1
029358296,0,1
029358332,3,4
029358542,4,5
029358875,2,3
029362426,1,2
029363574,0,1
029363745,0,1
029364306,2,3
029367105,0,1
029367179,2,3
029369989,3,4
029370183,0,1
029370205,3,4
029370550,3,4
029370606,0,1
029371451,0,1
029373628,2,3
029374808,0,1
029377485,4,5
029378353,3,4
029378826,2,3
029378872,2,3
029381809,0,1
029381939,2,3
029382398,2,3
029387348,0,1
029387513,2,3
029387515,1,2
029389296,0,1
029389979,0,1
029390726,0,1
029391035,1,2
029391037,2,3
029394427,3,4
029396795,1,2
029398175,0,1
029399251,2,3
029401548,0,1
029402128,3,4
029402145,0,1
029407629,2,3
029407970,0,1
029409193,0,1
029413530,0,1
029414204,0,1
029414709,3,4
029416712,3,4
029420255,3,4
029421580,0,1
029421609,0,1
029421813,2,3
029421958,0,1
029423005,0,1
029424532,2,3
029425830,2,3
029425831,0,1
029425996,0,1
029426350,3,4
029429127,0,1
029429361,0,1
029430152,2,3
029433334,2,3
029433362,3,4
029433767,0,1
029437496,2,3
029438430,3,4
029439106,2,3
029439566,2,3
029441361,0,1
029448636,3,4
029454943,0,1
029455095,0,1
029455247,0,1
029459680,2,3
029460176,2,3
029464629,1,2
029465652,2,3
029469547,0,1
029473122,4,5
029474267,3,4
029474904,2,3
029477464,2,3
029477587,0,1
029478167,0,1
029478277,3,4
029479184,2,3
029479427,3,4
029481978,5,6
029482291,3,4
029482421,2,3
029482567,1,2
029484054,0,1
029485961,3,4
029486108,1,2
029486482,0,1
029486775,0,1
029487713,2,3
029491029,0,1
029491661,0,1
029494361,0,1
029495024,3,4
029495073,2,3
029495348,3,4
029503680,2,3
029504772,2,3
029505245,2,3
029510758,0,1
029511511,2,3
029512721,0,1
029513602,4,5
029519788,3,4
029519979,3,4
029520398,0,1
029523846,1,2
029524862,2,3
029524938,0,1
029525393,2,3
029526454,2,3
029527473,0,1
029530691,0,1
029531135,2,3
029531288,3,4
029533400,0,1
029536311,0,1
029536891,0,1
029538167,2,3
029545116,2,3
029545823,2,3
029551639,0,1
029552615,3,4
029554334,0,1
029554740,1,2
029556842,4,5
029557444,0,1
029557936,0,1
029561203,0,1
029562195,2,3
029562798,0,1
029563217,2,3
029563310,0,1
029563472,1,2
029565417,0,1
029566028,2,3
029566073,2,3
029566617,3,4
029569245,3,4
029569536,0,1
029571018,2,3
029574144,4,5
029579303,2,3
029579862,1,2
029580119,0,1
029581632,0,1
029581849,4,5
029581881,0,1
029582146,3,4
029582554,2,3
029585829,0,1
029586184,0,1
029587328,0,1
029590335,3,4
029594904,2,3
029596540,3,4
029597305,2,3
029597812,2,3
029598186,0,1
029598242,3,4
029599007,3,4
029605043,2,3
029605487,4,5
029606230,0,1
029606740,3,4
029606908,0,1
029607303,0,1
029608074,0,1
029610024,2,3
029610966,2,3
029611774,0,1
029612048,1,2
029617126,4,5
029617151,4,5
029617213,0,1
029618439,3,4
029619172,0,1
029620035,2,3
029623246,2,3
029623424,3,4
029623683,0,1
029623878,3,4
029624695,0,1
029625067,0,1
029625120,1,2
029626771,0,1
029632792,0,1
029633081,2,3
029633602,7,8
029633937,0,1
029635034,0,1
029636328,2,3
029636714,3,4
029637899,1,2
029638606,1,2
029640805,2,3
029642855,2,3
029643319,0,1
029643445,2,3
029646987,0,1
029647056,0,1
029650397,2,3
029652916,3,4
029654241,3,4
029655139,0,1
029657776,0,1
029659861,0,1
029661635,2,3
029662036,0,1
029662188,2,3
029662204,0,1
029662407,2,3
029662625,2,3
029662756,2,3
029662799,3,4
029663465,0,1
029666200,0,1
029666745,0,1
029668391,2,3
029671057,1,2
029672592,3,4
029675302,2,3
029675627,2,3
029676150,0,1
029676704,3,4
029680302,0,1
029680518,0,1
029681038,0,1
029681519,0,1
029683509,2,3
029684226,2,3
029684404,0,1
029684608,0,1
029688057,0,1
029688771,0,1
029689292,4,5
029689629,2,3
029691336,2,3
029691971,2,3
029692252,2,3
029695601,0,1
029697628,0,1
029697796,1,2
029698046,3,4
029698085,0,1
029698467,0,1
029699800,0,1
029701186,2,3
029707565,3,4
029707693,5,6
029707913,2,3
029708865,2,3
029712335,0,1
029712428,3,4
029712565,3,4
029712936,2,3
029714604,0,1
029714676,2,3
029715062,2,3
029715777,0,1
029718347,0,1
029722980,2,3
029723004,4,5
029723388,0,1
029723450,0,1
029724985,0,1
029726820,2,3
029726849,1,2
029728049,0,1
029728412,2,3
029729073,2,3
029731732,0,1
029732325,0,1
029733039,0,1
029733521,0,1
029735992,0,1
029737649,0,1
029740956,0,1
029744540,2,3
029744710,0,1
029744855,0,1
029744945,0,1
029745779,0,1
029746181,3,4
029748774,2,3
029748924,0,1
029749256,3,4
029749484,0,1
029749548,3,4
029750798,0,1
029752920,2,3
029754176,3,4
029761373,2,3
029763296,0,1
029764089,1,2
029765211,0,1
029765494,2,3
029765656,2,3
029765883,0,1
029769612,0,1
029770642,0,1
029771088,0,1
029771248,0,1
029771375,2,3
029772248,2,3
029775091,0,1
029778453,1,2
029781389,4,5
029782659,4,5
029782891,0,1
029783206,3,4
029784008,2,3
029784208,3,4
029784435,2,3
029784541,2,3
029787986,0,1
029788239,2,3
029789412,3,4
029791995,2,3
029792079,1,2
029792723,3,4
029793154,2,3
029793719,2,3
029796048,2,3
029796215,0,1
029796260,3,4
029796347,1,2
029796828,2,3
029797296,2,3
029797538,0,1
029797902,0,1
029798413,1,2
029802853,2,3
029806099,2,3
029806708,3,4
029807592,2,3
029807599,2,3
029807790,0,1
029808764,0,1
029808893,3,4
029818977,2,3
029818980,0,1
029820626,3,4
029820636,0,1
029823566,4,5
029826281,0,1
029830381,2,3
029832628,0,1
029835295,3,4
029835503,2,3
029837268,0,1
029838039,2,3
029840967,4,5
029842170,3,4
029842588,4,5
029845646,0,1
029845958,0,1
029846347,2,3
029846357,0,1
029846370,0,1
029847425,2,3
029847658,0,1
029851153,2,3
029851853,2,3
029851949,4,5
029853048,2,3
029853167,3,4
029854373,2,3
029854469,1,2
029854547,0,1
029856478,3,4
029859157,2,3
029861558,2,3
029863399,0,1
029863816,3,4
029864188,3,4
029864793,0,1
029864987,2,3
029868595,0,1
029869349,2,3
029873606,2,3
029873753,3,4
029876489,0,1
029877030,0,1
029877152,0,1
029877346,0,1
029878284,2,3
029879053,0,1
029879137,2,3
029879482,0,1
029880386,2,3
029882223,4,5
029882349,0,1
029886949,0,1
029887317,3,4
029887461,2,3
029887684,2,3
029889148,2,3
029891573,0,1
029891813,3,4
029893179,0,1
029895435,0,1
029896632,0,1
029896771,2,3
029896938,0,1
029897182,0,1
029899708,0,1
029900744,0,1
029900826,1,2
029903132,0,1
029904070,0,1
029905584,0,1
029907814,2,3
029907913,0,1
029908725,1,2
029909023,2,3
029909165,0,1
029909184,0,1
029909713,2,3
029910863,0,1
029912083,0,1
029913050,0,1
029913702,0,1
029914492,0,1
029914819,3,4
029915450,0,1
029917304,3,4
029917795,2,3
029918071,2,3
029918097,2,3
029919456,5,6
029920485,0,1
029920687,0,1
029924698,0,1
029926130,3,4
029926373,1,2
029926591,2,3
029926988,0,1
029927082,0,1
029928440,2,3
029934647,0,1
029935015,0,1
029935769,2,3
029938181,0,1
029939508,0,1
029942518,0,1
029943501,2,3
029943638,1,2
029944161,2,3
029944859,2,3
029946778,3,4
029947344,0,1
029947636,1,2
029950571,0,1
029950881,4,5
029951502,3,4
029951830,0,1
029951963,2,3
029952938,0,1
029954768,0,1
029954953,4,5
029955332,2,3
029955944,0,1
029959587,2,3
029959945,3,4
029960577,0,1
029961047,3,4
029961493,2,3
029961678,2,3
029963268,0,1
029963699,0,1
029967405,2,3
029970302,2,3
029970326,2,3
029970340,0,1
029970851,0,1
029971236,4,5
029971732,2,3
029972392,2,3
029976420,3,4
029976911,1,2
029978786,1,2
029981311,0,1
029981317,2,3
029981429,1,2
029981430,2,3
029981508,1,2
029981700,0,1
029982110,0,1
029982507,2,3
029988251,2,3
029988487,3,4
029988960,0,1
029990152,0,1
029990355,3,4
029990409,2,3
029990430,0,1
029990640,0,1
029995502,2,3
029995700,2,3
029996751,0,1
029997431,2,3
029999129,4,5
029999358,2,3
029999480,0,1
029999494,5,6
029999636,0,1
030000035,1,2
030000154,0,1
030000283,0,1
030000788,0,1
030001000,3,4
030003549,2,3
030003700,2,3
030005823,1,2
030005880,1,2
030006068,2,3
030007628,1,2
030009113,3,4
030009326,2,3
030012953,0,1
030014533,1,2
030016002,0,1
030016480,2,3
030023307,3,4
030023549,4,5
030024115,2,3
030030788,4,5
030030937,2,3
030034224,0,1
030034551,0,1
030035558,2,3
030036445,2,3
030037425,3,4
030040135,2,3
030040369,0,1
030040779,2,3
030040927,0,1
030041240,0,1
030042644,1,2
030043344,0,1
030043359,2,3
030043626,0,1
030044508,0,1
030044544,0,1
030044761,1,2
030045023,0,1
030047498,2,3
030047566,1,2
030047670,0,1
030049116,0,1
030049284,2,3
030049595,0,1
030049875,0,1
030050508,3,4
030051309,2,3
030051803,0,1
030052188,2,3
030052705,0,1
030052841,0,1
030056654,0,1
030056730,5,6
030057879,0,1
030058458,0,1
030058946,2,3
030059801,2,3
030060084,0,1
030060324,3,4
030062621,2,3
030062897,3,4
030063845,0,1
030064070,1,2
030064318,3,4
030065594,2,3
030066138,2,3
030066687,2,3
030066727,0,1
030066792,2,3
030070587,3,4
030070764,0,1
030071525,0,1
030072318,0,1
030072982,6,7
030073159,0,1
030073783,2,3
030077748,0,1
030077822,0,1
030078446,2,3
030078556,0,1
030079374,0,1
030079791,0,1
030079844,0,1
030079922,0,1
030080221,2,3
030080744,3,4
030081085,0,1
030081578,2,3
030081780,1,2
030082117,0,1
030083083,0,1
030083167,0,1
030086237,0,1
030088438,2,3
030088486,0,1
030088880,2,3
030090516,0,1
030090642,2,3
030090769,2,3
030094966,3,4
030095630,0,1
030095713,4,5
030096900,0,1
030097054,2,3
030097288,2,3
030097473,2,3
030098665,0,1
030099392,4,5
030099399,0,1
030099574,2,3
030099764,3,4
030102521,4,5
030102567,0,1
030102645,0,1
030102871,0,1
030102886,0,1
030102984,0,1
030103222,1,2
030104174,3,4
030104847,2,3
030104955,4,5
030105391,2,3
030106730,4,5
030107177,3,4
030110384,0,1
030115995,1,2
030116465,2,3
030116521,3,4
030119960,2,3
030120119,2,3
030120430,3,4
030124510,5,6
030125008,0,1
030125452,0,1
030125564,2,3
030125763,1,2
030126716,2,3
030126978,2,3
030127805,2,3
030129262,2,3
030130615,0,1
030130778,5,6
030130918,3,4
030131901,0,1
030134840,0,1
030135013,3,4
030135026,0,1
030135182,0,1
030135212,2,3
030135419,2,3
030135499,0,1
030136119,0,1
030136152,2,3
030136706,0,1
030136748,0,1
030136831,0,1
030138383,0,1
030139149,3,4
030139221,0,1
030139553,0,1
030139834,0,1
030140473,2,3
030143031,2,3
030143426,8,9
030143489,4,5
030144047,1,2
030145697,0,1
030146017,2,3
030147263,1,2
030148446,3,4
030151781,0,1
030152911,1,2
030153133,2,3
030153196,2,3
030153291,2,3
030153387,2,3
030153624,1,2
030153685,2,3
030154017,0,1
030154051,2,3
030154616,3,4
030154838,0,1
030155036,2,3
030155180,0,1
030155517,2,3
030155924,2,3
030158613,1,2
030159170,2,3
030159393,2,3
030160431,0,1
030160470,1,2
030161739,2,3
030161815,2,3
030162109,4,5
030162721,2,3
030162879,2,3
030163292,2,3
030166435,0,1
030166972,3,4
030167194,1,2
030169130,2,3
030169595,0,1
030169894,0,1
030170113,3,4
030170978,2,3
030172522,4,5
030173315,3,4
030174098,2,3
030174269,0,1
030175087,4,5
030176844,2,3
030177350,3,4
030178074,3,4
030178435,0,1
030178610,0,1
030179345,0,1
030179390,1,2
030179427,0,1
030179499,0,1
030179501,0,1
030179510,1,2
030179611,1,2
030179773,0,1
030180979,0,1
030181069,0,1
030182278,0,1
030183555,6,7
030184621,0,1
030185418,0,1
030187411,3,4
030187632,0,1
030187639,2,3
030188563,2,3
030188814,2,3
030190039,0,1
030190138,0,1
030190494,0,1
030192453,2,3
030193048,3,4
030193844,0,1
030194523,4,5
030194583,0,1
030194786,1,2
030194940,2,3
030195320,3,4
030196577,0,1
030196802,1,2
030196827,2,3
030197193,3,4
030198195,2,3
030202756,3,4
030203208,2,3
030205747,2,3
030206141,3,4
030206319,2,3
030206732,0,1
030210801,0,1
030211252,0,1
030212532,0,1
030213006,0,1
030215679,0,1
030217426,4,5
030217749,1,2
030220534,6,7
030221336,0,1
030221644,0,1
030221970,0,1
030222053,3,4
030222159,3,4
030224855,0,1
030225407,2,3
030225731,2,3
030226070,2,3
030230752,5,6
030233230,0,1
030233365,0,1
030233620,0,1
030234213,1,2
030234325,2,3
030234639,2,3
030237144,0,1
030237435,4,5
030239211,1,2
030242837,3,4
030242864,2,3
030246423,3,4
030247160,0,1
030247687,3,4
030250188,5,6
030250434,2,3
030250613,2,3
030253477,2,3
030254682,3,4
030255894,3,4
030256031,0,1
030256172,2,3
030256394,2,3
030256402,2,3
030256847,0,1
030257548,3,4
030258137,2,3
030260520,0,1
030260767,2,3
030261239,0,1
030262975,0,1
030263006,1,2
030263460,2,3
030267184,4,5
030268156,0,1
030269436,2,3
030272579,0,1
030272684,0,1
030273016,0,1
030273492,0,1
030274458,0,1
030275076,2,3
030276723,2,3
030276820,2,3
030277555,1,2
030277863,0,1
030277929,3,4
030281079,0,1
030281592,0,1
030281805,0,1
030282669,2,3
030283629,3,4
030285223,0,1
030285661,0,1
030285882,2,3
030286427,2,3
030289558,2,3
030289691,0,1
030289699,3,4
030290584,0,1
030290829,2,3
030291124,0,1
030291419,2,3
030292963,0,1
030293032,0,1
030293694,0,1
030293720,4,5
030293835,2,3
030294103,0,1
030294154,0,1
030294876,0,1
030298093,0,1
030298639,3,4
030298779,0,1
030299265,2,3
030299380,3,4
030299623,2,3
030301171,0,1
030301405,0,1
030301947,0,1
030302821,4,5
030304882,2,3
030305408,0,1
030305624,0,1
030307668,4,5
030307726,3,4
030307787,3,4
030308318,0,1
030313670,2,3
030314164,2,3
030314463,2,3
030315530,0,1
030317595,0,1
030317889,0,1
030318388,0,1
030318768,2,3
030318864,0,1
030318952,0,1
030319472,2,3
030319967,2,3
030320101,0,1
030320249,1,2
030320372,0,1
030320724,5,6
030323718,0,1
030323968,0,1
030324415,0,1
030325013,0,1
030327525,1,2
030328411,0,1
030328921,0,1
030329568,0,1
030329870,0,1
030332334,1,2
030332596,3,4
030332824,2,3
030336502,0,1
030337676,0,1
030338153,2,3
030338511,0,1
030338654,0,1
030339977,1,2
030340027,0,1
030340655,2,3
030340831,1,2
030341107,0,1
030341138,1,2
030341241,1,2
030341715,0,1
030344253,0,1
030344489,1,2
030345021,0,1
030345043,4,5
030345152,0,1
030345369,2,3
030345755,2,3
030345811,2,3
030346613,0,1
030348550,3,4
030348849,0,1
030349334,0,1
030352853,0,1
030352903,1,2
030352936,4,5
030353489,2,3
030353537,0,1
030353575,2,3
030353964,0,1
030355969,1,2
030355991,0,1
030360319,5,6
030360823,5,6
030361727,0,1
030363726,3,4
030366157,2,3
030366356,0,1
030366411,3,4
030367046,2,3
030367177,0,1
030367271,2,3
030367548,0,1
030367688,0,1
030369211,1,2
030369501,2,3
030369718,2,3
030371582,1,2
030371689,0,1
030372053,2,3
030374405,0,1
030374611,2,3
030374713,5,6
030375453,0,1
030376273,2,3
030376399,3,4
030376492,2,3
030376640,0,1
030376782,2,3
030377474,2,3
030379403,2,3
030380309,2,3
030381375,2,3
030381624,2,3
030383034,0,1
030383529,0,1
030383596,3,4
030383608,2,3
030384128,2,3
030384801,2,3
030386540,0,1
030386639,2,3
030386673,2,3
030388386,3,4
030389677,4,5
030390627,1,2
030391020,3,4
030392941,0,1
030393039,1,2
030393199,1,2
030395104,1,2
030395964,0,1
030396584,2,3
030397715,3,4
030398102,0,1
030399302,1,2
030399449,0,1
030400009,1,2
030400882,3,4
030405785,0,1
030406304,0,1
030408454,2,3
030409192,2,3
030409241,2,3
030409411,0,1
030409643,0,1
030412038,0,1
030412476,0,1
030412908,2,3
030413340,0,1
030413556,0,1
030414147,0,1
030414758,0,1
030415166,2,3
030415347,0,1
030416366,0,1
030417515,0,1
030420617,0,1
030420664,1,2
030421426,4,5
030421472,0,1
030421798,4,5
030421895,2,3
030422316,2,3
030423162,2,3
030423374,0,1
030423803,2,3
030424317,2,3
030424593,0,1
030424828,0,1
030424931,2,3
030425338,4,5
030427937,4,5
030428215,0,1
030429123,2,3
030429323,0,1
030429852,0,1
030430010,0,1
030430178,0,1
030430286,0,1
030430403,2,3
030431376,0,1
030431974,0,1
030432127,0,1
030432408,0,1
030435444,1,2
030437567,1,2
030437575,2,3
030438208,0,1
030438302,0,1
030438853,2,3
030438893,0,1
030439123,0,1
030440006,2,3
030442945,0,1
030443227,1,2
030443620,0,1
030443867,0,1
030444784,0,1
030444868,0,1
030445657,2,3
030446100,2,3
030446190,2,3
030447106,2,3
030449972,1,2
030450898,0,1
030451414,0,1
030451622,2,3
030451790,0,1
030453847,2,3
030454185,3,4
030457414,2,3
030457644,2,3
030457904,2,3
030458178,3,4
030458204,0,1
030458473,0,1
030458767,2,3
030459010,3,4
030460421,0,1
030460930,0,1
030461116,1,2
030461282,0,1
030461812,1,2
030462131,4,5
030462319,2,3
030463224,2,3
030463283,0,1
030463421,2,3
030465946,0,1
030465955,0,1
030467482,0,1
030468194,4,5
030468273,2,3
030468461,1,2
030468584,2,3
030469183,2,3
030469356,2,3
030469928,2,3
030470035,0,1
030473249,3,4
030473819,0,1
030474250,0,1
030474655,0,1
030474822,0,1
030475185,0,1
030475375,0,1
030475657,0,1
030475955,0,1
030475957,2,3
030476905,0,1
030477234,3,4
030477380,4,5
030477470,0,1
030477813,2,3
030478060,3,4
030481040,2,3
030481334,2,3
030482075,2,3
030482592,2,3
030483033,0,1
030483384,0,1
030484009,0,1
030484058,1,2
030484142,2,3
030484389,1,2
030484698,2,3
030487901,1,2
030488185,3,4
030488364,0,1
030488438,0,1
030488794,0,1
030489410,0,1
030489613,0,1
030491397,1,2
030491822,2,3
030494606,0,1
030494655,3,4
030495817,2,3
030496657,2,3
030497381,2,3
030497585,0,1
030497626,0,1
030497869,2,3
030498403,2,3
030498826,2,3
030501167,2,3
030501737,2,3
030502322,2,3
030502974,0,1
030505711,1,2
030506579,2,3
030506710,0,1
030507978,0,1
030508579,0,1
030509280,1,2
030509443,0,1
030510586,4,5
030511006,0,1
030511711,3,4
030511994,0,1
030512186,0,1
030512295,2,3
030512358,0,1
030514739,1,2
030515263,1,2
030515397,3,4
030516419,0,1
030516535,0,1
030516661,0,1
030517246,0,1
030517267,2,3
030517316,2,3
030517633,0,1
030517887,0,1
030519201,1,2
030519440,0,1
030519473,2,3
030519941,0,1
030522166,0,1
030522500,0,1
030522891,0,1
030522960,0,1
030522962,1,2
030523152,2,3
030524455,7,8
030524462,2,3
030524583,0,1
030524624,0,1
030524751,2,3
030524779,0,1
030524820,0,1
030525001,3,4
030525380,0,1
030525631,1,2
030525833,0,1
030526031,0,1
030526084,0,1
030526099,3,4
030526352,2,3
030526389,0,1
030526724,0,1
030526751,2,3
030526763,3,4
030526894,0,1
030527107,2,3
030529483,3,4
030529575,0,1
030529664,1,2
030529853,2,3
030529854,0,1
030529994,2,3
030532366,3,4
030532624,0,1
030533157,2,3
030533575,2,3
030533674,0,1
030537051,2,3
030537401,3,4
030537983,2,3
030538455,2,3
030538538,5,6
030538675,3,4
030538944,0,1
030539133,4,5
030543512,0,1
030544748,2,3
030547406,2,3
030548127,0,1
030548802,0,1
030549451,2,3
030550628,2,3
030551038,3,4
030551259,0,1
030551921,0,1
030552589,2,3
030553252,2,3
030553671,3,4
030553922,0,1
030556292,0,1
030556665,0,1
030556693,0,1
030558397,1,2
030558583,0,1
030559629,1,2
030559795,2,3
030560141,2,3
030560648,3,4
030561500,0,1
030565453,2,3
030566308,3,4
030566332,0,1
030566743,0,1
030566788,0,1
030567203,2,3
030567887,0,1
030567948,0,1
030570837,0,1
030570921,0,1
030571271,3,4
030571338,3,4
030571378,2,3
030571572,0,1
030571946,0,1
030571949,0,1
030572144,0,1
030572430,0,1
030572505,2,3
030572643,2,3
030572739,4,5
030572748,2,3
030573654,0,1
030574155,2,3
030574422,3,4
030574735,0,1
030575140,2,3
030575211,2,3
030577420,2,3
030578587,0,1
030578813,0,1
030580199,0,1
030580301,0,1
030580526,0,1
030580765,2,3
030580783,4,5
